iter	PairLogit	MAP:top=5
72	0.6359106666	0.6282059085
73	0.6357029602	0.6290246512
74	0.6355003392	0.6293844144
75	0.635259459	0.6294877995
76	0.6351264269	0.6304860764
77	0.6347660534	0.6303607359
78	0.6345877008	0.6302908399
79	0.6342900509	0.6305437441
80	0.6341346465	0.6301093602
81	0.6339332738	0.6305812629
82	0.6337863879	0.630720916
83	0.633714782	0.6314368295
84	0.6336043572	0.6314693458
85	0.633453624	0.6309342171
86	0.6333477699	0.6311758657
87	0.6331748423	0.6311094436
88	0.6329213163	0.6318506475
89	0.632842841	0.6325109777
90	0.6326973307	0.6327944528
91	0.6326211141	0.6326361792
92	0.6324756986	0.6335641432
93	0.6322854892	0.6334407482
94	0.6321639369	0.6332795564
95	0.6319617834	0.6328179367
96	0.6318239735	0.6333461175
97	0.6316496866	0.6329392474
98	0.6315719039	0.6333752988
99	0.6313361147	0.6342179423
100	0.6311654772	0.6349716525
101	0.6311256187	0.6350992163
102	0.6308480733	0.6359118448
103	0.6307763592	0.6362320049
104	0.6306177786	0.6360827636
105	0.6305338784	0.6361386249
106	0.6304647296	0.6366516592
107	0.6302512868	0.6364209883
108	0.6299949133	0.6375123673
109	0.6299039087	0.6372967039
110	0.6297942078	0.6380270691
111	0.6296640451	0.6380820966
112	0.6296102062	0.6384806292
113	0.6295383332	0.6383366683
114	0.6292962183	0.638895281
115	0.6290597036	0.638941971
116	0.6289250127	0.6397384804
117	0.6288373474	0.6404154855
118	0.6285732781	0.6399260741
119	0.628430796	0.6402078817
120	0.6282466983	0.6402128842
121	0.6279978952	0.6406103052
122	0.6277055272	0.6403530932
123	0.627584548	0.6403216886
124	0.6274867312	0.6402777778
125	0.6274207326	0.6407616308
126	0.6270955006	0.6420082263
127	0.6269002637	0.6423579845
128	0.6265894287	0.6424672058
129	0.6261319931	0.6441199767
130	0.6259591798	0.6442667167
131	0.6256764316	0.6450494692
132	0.6254087328	0.6446826191
133	0.6250062596	0.6452943138
134	0.6247737191	0.6453298872
135	0.6246086174	0.6459222667
136	0.6241798723	0.6465147852
137	0.6239711068	0.6466568006
138	0.6236086705	0.6472687733
139	0.6233851712	0.6470419932
140	0.623051099	0.6473421433
141	0.6228499402	0.6476450725
142	0.6224327148	0.6488588739
143	0.6218267041	0.6491509644
144	0.621427387	0.6487268634
145	0.6211663707	0.6496337057
146	0.6206083542	0.6503915847
147	0.6200960493	0.6518848313
148	0.6197871561	0.6513515091
149	0.6193544539	0.6525771219
150	0.6190324741	0.6526741148
151	0.6185754373	0.653064032
152	0.6183309318	0.653991857
153	0.6180532358	0.6547778056
154	0.6176167412	0.6541445723
155	0.6172871568	0.655330443
156	0.6169054079	0.6557801123
157	0.6165561473	0.6561044411
158	0.6161015582	0.6559476961
159	0.6155380561	0.6562044911
160	0.6152089002	0.6565396587
161	0.6149804449	0.6565716191
162	0.6146939275	0.6568017342
163	0.6143589583	0.6561685009
164	0.6140470277	0.6562827247
165	0.6137761253	0.6561351509
166	0.6134686076	0.657366322
167	0.6131725466	0.6574263521
168	0.6128134551	0.6584754877
169	0.612539407	0.6592942304
170	0.6121582023	0.659799761
171	0.6118944037	0.6595943805
172	0.6117075852	0.6599679006
173	0.6113959442	0.6608133233
174	0.611104791	0.661338586
175	0.6107017393	0.6619764049
176	0.6103572912	0.6613494247
177	0.6100223793	0.6624419154
178	0.6097456044	0.662870463
179	0.6095062569	0.6632582958
180	0.6092095341	0.6630602801
181	0.6090277333	0.6631161414
182	0.6086862361	0.664108721
183	0.6085164578	0.6640203435
184	0.6082515676	0.6646473237
185	0.6079470524	0.6650896281
186	0.6076465511	0.6647989272
187	0.607462841	0.6657107721
188	0.6072343108	0.6657767773
189	0.6068477221	0.6654949697
190	0.6065620645	0.6659743761
191	0.6063421363	0.6664462787
192	0.6060348959	0.6666959869
193	0.6058174945	0.6674747096
194	0.6055637991	0.6679882997
195	0.6053908778	0.6684071202
196	0.6051761296	0.6687001834
197	0.6048799524	0.6672894781
198	0.6046350481	0.6678197432
199	0.6044197291	0.6683249958
