iter	RMSE	MAP:top=5
162	0.7375766021	0.6628954755
163	0.7374868987	0.6629988605
164	0.7373999107	0.6631539381
165	0.7372605608	0.6631589406
166	0.7370994294	0.6639207104
167	0.7370098356	0.6639857429
168	0.7369003628	0.6639223779
169	0.736810508	0.6638806903
170	0.7367026799	0.6634563115
171	0.7365275348	0.6641750042
172	0.7363822664	0.6647502918
173	0.7362873742	0.6649437219
174	0.7361096568	0.6649328831
175	0.7359843153	0.6650846256
176	0.7358675817	0.6650512756
177	0.7357923568	0.6654898282
178	0.735692702	0.6656815908
179	0.7356135966	0.6655531933
180	0.7354434995	0.6652822244
181	0.7353175171	0.6656078039
182	0.7352251942	0.665864599
183	0.7351312895	0.6668951142
184	0.7350053843	0.6667882552
185	0.7348860302	0.6669220721
186	0.7347732136	0.6672505697
187	0.7346586851	0.6672639097
188	0.7345349281	0.6674552554
189	0.7344317421	0.6675636429
190	0.7343201414	0.6681272581
191	0.7342313473	0.6685363515
192	0.7340768654	0.6682871992
193	0.7338980023	0.6684489467
194	0.7337850605	0.6686924018
195	0.7336476881	0.6686640542
196	0.733501742	0.6691698627
197	0.7333860547	0.6691548552
198	0.7333180284	0.6695872936
199	0.7332204794	0.6695889611
200	0.7330801054	0.6697290312
201	0.7329824662	0.6703801901
202	0.7328812466	0.669903285
203	0.7327320398	0.6696498249
204	0.7326547753	0.6697382024
205	0.7325137338	0.66987327
206	0.7323937816	0.670183425
207	0.7323398167	0.6697898949
208	0.7322350122	0.67016008
209	0.7321307818	0.6702017676
210	0.7320644288	0.6702517926
211	0.7319453933	0.6703568451
212	0.7318672839	0.6706039131
213	0.7317747829	0.6709532544
214	0.7316329485	0.6714926908
215	0.7315458545	0.6713114891
216	0.7314349697	0.6718063198
217	0.731323698	0.6719313824
218	0.7312449563	0.6720422711
219	0.7311270134	0.6723086543
220	0.7310553168	0.6724070369
221	0.7309677438	0.6724137069
222	0.7308893822	0.672780418
223	0.7307728522	0.6726320104
224	0.7306873071	0.671942499
225	0.7305962227	0.672273081
226	0.7304848436	0.6725682286
227	0.7303992401	0.6720379634
228	0.7302453172	0.6721513535
229	0.7301535674	0.6723014285
230	0.73005208	0.6726315936
231	0.7299838226	0.6730117837
232	0.7298945627	0.6737087988
233	0.7298119502	0.6734269913
234	0.7297263804	0.673341115
235	0.7296245626	0.6732471791
236	0.7295256179	0.6738310822
237	0.7294377593	0.674212384
238	0.7292949945	0.6744180424
239	0.7292103132	0.6745481074
240	0.72906831	0.6746081374
241	0.7289778904	0.6748315825
242	0.7288408013	0.6741795898
243	0.728711434	0.6740628648
244	0.7286103373	0.6741095548
245	0.7285420076	0.6741462398
246	0.7284529396	0.6739778222
247	0.7283414921	0.674179034
248	0.7282110004	0.6741206714
249	0.7281349534	0.6740272914
250	0.7280120227	0.674262409
251	0.7279178465	0.674292424
252	0.7278302742	0.6743941415
253	0.7277313464	0.6748952254
254	0.7276112779	0.675137013
255	0.7275546126	0.6747468179
256	0.7275028575	0.6758457006
257	0.7274088211	0.6759715969
258	0.7273130869	0.676155022
259	0.7272501586	0.6763701295
260	0.7271448589	0.6766319271
261	0.727027023	0.6764068145
262	0.72693335	0.6764835195
263	0.7268486647	0.6773181035
264	0.7267447346	0.6773181035
265	0.7266317863	0.6782869212
266	0.7265490974	0.6787138013
267	0.7264971063	0.6787688289
268	0.726429001	0.6790147852
269	0.7263399063	0.6790864877
270	0.726244815	0.678501195
271	0.7261905671	0.6787663276
272	0.7260905853	0.6788046801
273	0.7260186127	0.6789280751
