iter	Passed	Remaining
399	66707	600364
400	66855	600033
401	67012	599779
402	67190	599715
403	67356	599536
404	67491	599091
405	67607	598474
406	67741	598025
407	67871	597533
408	68084	597780
409	68245	597566
410	68380	597122
411	68508	596623
412	68634	596108
413	68771	595683
414	68893	595140
415	69074	595105
416	69220	594766
417	69370	594461
418	69514	594111
419	69650	593691
420	69775	593176
421	69917	592804
422	70097	592759
423	70239	592393
424	70386	592071
425	70516	591609
426	70686	591483
427	70814	591002
428	70963	590702
429	71108	590365
430	71291	590344
431	71454	590164
432	71605	589874
433	71756	589597
434	71907	589312
435	72019	588713
436	72184	588545
437	72350	588381
438	72476	587898
439	72594	587351
440	72720	586878
441	72847	586405
442	73001	586151
443	73212	586356
444	73387	586271
445	73499	585688
446	73641	585342
447	73761	584824
448	73905	584497
449	74037	584072
450	74207	583948
451	74362	583714
452	74480	583185
453	74616	582797
454	74734	582271
455	74863	581834
456	75012	581552
457	75165	581303
458	75403	581704
459	75654	582208
460	75898	582658
461	76166	583281
462	76454	584058
463	76689	584426
464	76976	585185
465	77205	585499
466	77492	586254
467	77689	586320
468	77949	586865
469	78172	587129
470	78522	588332
471	78731	588481
472	78995	589039
473	79163	588882
474	79435	589495
475	79661	589760
476	79782	589252
477	79873	588526
478	79992	588005
479	80173	587935
480	80310	587550
481	80444	587145
482	80633	587141
483	80808	587033
484	80946	586652
485	81064	586134
486	81191	585682
487	81317	585216
488	81444	584769
489	81567	584290
490	81756	584287
491	81887	583863
492	82009	583384
493	82149	583031
494	82288	582666
495	82424	582292
496	82558	581898
497	82757	581958
498	82896	581603
499	83014	581098
500	83171	580874
501	83292	580392
502	83424	579990
503	83554	579575
504	83757	579666
505	83940	579622
506	84101	579419
507	84227	578982
508	84377	578708
509	84506	578286
510	84649	577966
511	84851	578048
512	84986	577677
513	85111	577233
514	85250	576889
515	85397	576596
516	85520	576145
517	85666	575850
518	85830	575678
519	86013	575628
520	86159	575332
521	86302	575017
522	86419	574531
523	86560	574204
524	86673	573698
525	86810	573343
526	87022	573488
527	87237	573654
528	87497	574106
529	87754	574543
530	87986	574811
531	88240	575221
532	88373	574844
533	88515	574523
534	88640	574090
535	88767	573679
536	88914	573388
537	89133	573568
538	89263	573176
539	89399	572817
540	89564	572647
541	89857	573295
542	90166	574045
543	90415	574406
544	90676	574836
545	90901	575041
546	91145	575368
547	91434	575967
548	91682	576314
549	91974	576929
550	92243	577399
551	92591	578359
552	92901	579079
553	93178	579587
554	93433	579961
555	93711	580470
556	93840	580060
557	93982	579729
558	94098	579239
559	94193	578614
560	94352	578391
561	94513	578182
562	94696	578100
563	94822	577678
564	94977	577431
565	95110	577045
566	95247	576690
567	95407	576475
568	95541	576101
569	95731	576067
570	95877	575767
571	96022	575462
572	96173	575193
573	96301	574786
574	96422	574341
575	96557	573980
576	96847	574540
577	96982	574177
578	97133	573909
579	97279	573613
580	97409	573221
581	97533	572800
582	97658	572384
583	97868	572463
584	98016	572181
585	98140	571762
586	98266	571353
587	98411	571052
588	98547	570703
589	98690	570397
590	98904	570497
591	99057	570249
592	99183	569843
593	99322	569518
594	99454	569146
595	99596	568835
596	99714	568388
597	99837	567974
598	100031	567955
599	100181	567693
600	100301	567264
601	100453	567011
602	100574	566588
603	100694	566155
604	100800	565649
605	100947	565372
606	101136	565330
607	101297	565130
608	101456	564922
609	101617	564726
610	101771	564492
611	101909	564164
612	102110	564188
613	102238	563809
614	102356	563375
615	102493	563050
616	102625	562695
617	102775	562439
618	102909	562093
619	103104	562084
620	103278	561962
621	103404	561573
622	103554	561319
623	103726	561186
624	103963	561401
625	104337	562356
626	104586	562629
627	104818	562816
628	105068	563091
629	105350	563542
630	105578	563701
631	105807	563862
632	106116	564444
633	106469	565264
634	106730	565589
635	107034	566139
636	107274	566347
637	107576	566882
638	107888	567467
639	108082	567431
640	108198	566985
641	108318	566562
642	108454	566221
643	108576	565813
644	108802	565940
645	108956	565694
646	109098	565391
647	109235	565056
648	109393	564834
649	109515	564426
650	109639	564028
651	109831	563980
652	109944	563529
653	110071	563147
654	110199	562775
655	110348	562508
656	110504	562278
657	110633	561908
658	110804	561759
659	110954	561499
660	111097	561201
661	111234	560876
662	111377	560580
663	111506	560219
664	111607	559715
665	111744	559391
666	111971	559522
667	112116	559241
668	112250	558901
669	112366	558480
670	112490	558091
671	112611	557696
672	112730	557285
673	112945	557356
674	113081	557030
675	113221	556728
676	113384	556537
677	113523	556233
678	113641	555822
679	113754	555390
680	113967	555442
681	114113	555172
682	114272	554965
683	114435	554776
684	114559	554398
685	114692	554066
686	114798	553608
687	114996	553585
688	115149	553353
689	115271	552968
690	115413	552683
691	115527	552259
692	115655	551907
693	115793	551603
694	115957	551422
695	116189	551567
696	116319	551221
697	116456	550916
698	116584	550567
699	116714	550223
700	116820	549772
701	116941	549390
702	117105	549215
703	117297	549164
704	117437	548875
705	117585	548619
706	117712	548270
707	117830	547880
708	118049	547953
709	118301	548185
710	118587	548572
711	118861	548900
712	119121	549162
713	119401	549516
714	119658	549759
715	119920	550027
716	120180	550280
717	120416	550425
718	120885	551632
719	121107	551710
720	121421	552207
721	121666	552384
722	122035	553125
723	122258	553202
724	122397	552900
725	122534	552588
726	122658	552218
727	122790	551880
728	123004	551917
729	123170	551734
730	123313	551454
731	123456	551170
732	123584	550818
733	123716	550488
734	123871	550257
735	124076	550253
736	124226	549999
737	124351	549639
738	124493	549355
739	124631	549051
740	124777	548783
741	124944	548612
742	125155	548628
743	125344	548551
744	125494	548301
745	125625	547970
746	125768	547691
747	125903	547378
748	126030	547031
749	126217	546943
750	126346	546604
751	126475	546264
752	126584	545842
753	126711	545498
754	126861	545250
755	126993	544927
756	127153	544729
757	127331	544601
758	127485	544374
759	127593	543951
760	127718	543601
761	127868	543357
762	128012	543089
763	128154	542811
764	128341	542725
765	128487	542465
766	128615	542131
767	128749	541822
768	128874	541472
769	128999	541127
770	129129	540803
771	129258	540473
772	129493	540590
773	129630	540293
774	129730	539845
775	129873	539575
776	129989	539196
777	130127	538909
778	130255	538580
779	130453	538540
780	130579	538201
781	130708	537878
782	130855	537629
783	130997	537356
784	131139	537088
785	131297	536882
786	131436	536601
787	131654	536643
788	131799	536387
789	131949	536149
790	132066	535779
791	132330	536004
792	132686	536603
793	132985	536966
794	133176	536892
795	133426	537056
796	133709	537353
797	134012	537728
798	134276	537945
799	134526	538107
800	134840	538521
801	135145	538897
802	135391	539035
803	135632	539154
804	135865	539241
805	136201	539735
806	136421	539768
807	136552	539449
808	136691	539163
809	136868	539024
810	136997	538699
811	137132	538396
812	137329	538339
813	137453	537993
814	137588	537691
815	137731	537424
816	137872	537146
817	138027	536924
818	138164	536629
819	138354	536545
820	138483	536221
821	138635	535990
822	138780	535729
823	138919	535447
824	139027	535045
825	139187	534843
826	139377	534759
827	139508	534445
828	139647	534163
829	139786	533884
830	139928	533612
831	140064	533324
832	140228	533135
833	140550	533553
834	140686	533259
835	140846	533059
836	140995	532817
837	141114	532463
838	141235	532117
839	141350	531748
840	141501	531512
841	141683	531397
842	141802	531045
843	141950	530800
844	142087	530515
845	142232	530260
846	142360	529944
847	142499	529667
848	142712	529666
849	142833	529324
850	142992	529121
851	143155	528937
852	143272	528578
853	143415	528319
854	143563	528080
855	143789	528123
856	143928	527851
857	144094	527674
858	144230	527388
859	144366	527106
860	144509	526848
861	144644	526561
862	144845	526511
863	144997	526286
864	145147	526054
865	145286	525781
866	145389	525379
867	145499	525003
868	145614	524647
869	145804	524562
870	145951	524318
871	146097	524075
872	146227	523773
873	146427	523721
874	146629	523677
875	147051	524417
876	147325	524625
877	147523	524564
878	147838	524919
879	148146	525245
880	148429	525484
881	148741	525824
882	148975	525884
883	149330	526372
884	149633	526676
885	149839	526637
886	150062	526655
887	150327	526824
888	150663	527238
889	150860	527164
890	150983	526831
891	151111	526519
892	151219	526136
893	151393	525981
894	151562	525811
895	151784	525823
896	151901	525473
897	152026	525151
898	152150	524827
899	152279	524518
900	152436	524305
901	152581	524054
902	152773	523964
903	152918	523711
904	153031	523351
905	153188	523141
906	153342	522918
907	153490	522679
908	153645	522461
909	153904	522599
910	154033	522293
911	154172	522021
912	154311	521751
913	154439	521445
914	154580	521182
915	154706	520867
916	154853	520625
917	155030	520483
918	155189	520281
919	155334	520033
920	155508	519881
921	155642	519597
922	155810	519424
923	156013	519368
924	156186	519214
925	156326	518950
926	156496	518783
927	156633	518511
928	156765	518220
929	156893	517918
930	157191	518175
931	157347	517964
932	157497	517734
933	157636	517465
934	157784	517230
935	157916	516939
936	158055	516675
937	158248	516585
938	158402	516369
939	158560	516163
940	158690	515869
941	158818	515569
942	158945	515266
943	159079	514986
944	159228	514755
945	159472	514828
946	159635	514644
947	159770	514365
948	159927	514160
949	160040	513813
950	160186	513572
951	160318	513287
952	160518	513222
953	160645	512921
954	160825	512787
955	161031	512741
956	161267	512786
957	161574	513059
958	161813	513111
959	162047	513150
960	162271	513157
961	162487	513136
962	162895	513722
963	163160	513853
964	163405	513921
965	163682	514092
966	164017	514441
967	164269	514529
968	164513	514591
969	164833	514893
970	165112	515063
971	165294	514928
972	165435	514667
973	165590	514452
974	165752	514259
975	165897	514011
976	166021	513697
977	166187	513515
978	166368	513380
979	166505	513108
980	166653	512871
981	166768	512532
982	166901	512250
983	167034	511966
984	167160	511665
985	167382	511652
986	167516	511374
987	167653	511106
988	167785	510821
989	167923	510554
990	168081	510351
991	168210	510058
992	168434	510053
993	168543	509700
994	168689	509457
995	168840	509234
996	168980	508975
997	169106	508673
998	169228	508364
999	169524	508573
1000	169668	508328
1001	169804	508057
1002	169965	507861
1003	170109	507618
1004	170236	507321
1005	170374	507059
1006	170527	506842
1007	170743	506810
1008	170894	506585
1009	171059	506403
1010	171191	506125
1011	171336	505883
1012	171495	505683
1013	171623	505393
1014	171853	505402
1015	171990	505136
1016	172104	504804
1017	172251	504572
1018	172394	504326
1019	172529	504055
1020	172752	504045
1021	172962	503994
1022	173072	503653
1023	173200	503364
1024	173297	502985
1025	173437	502731
1026	173558	502424
1027	173695	502162
1028	173914	502137
1029	174068	501924
1030	174206	501667
1031	174348	501420
1032	174478	501139
1033	174642	500956
1034	174808	500780
1035	175090	500933
1036	175380	501110
1037	175613	501123
1038	175892	501268
1039	176236	501595
1040	176543	501817
1041	176775	501826
1042	176992	501789
1043	177244	501854
1044	177532	502019
1045	177796	502114
1046	178094	502305
1047	178353	502384
1048	178704	502724
1049	178981	502851
1050	179185	502776
1051	179471	502928
1052	179740	503034
1053	179857	502713
1054	179968	502376
1055	180105	502112
1056	180315	502050
1057	180683	502430
1058	181008	502687
1059	181355	503005
1060	181728	503392
1061	182015	503542
1062	182327	503759
1063	182728	504219
1064	183152	504745
1065	183564	505232
1066	183915	505551
1067	184193	505668
1068	184816	506733
1069	185224	507202
1070	185510	507339
1071	185808	507505
1072	186261	508095
1073	186469	508016
1074	186621	507783
1075	186776	507559
1076	186903	507260
1077	187034	506970
1078	187219	506829
1079	187390	506647
1080	187544	506421
1081	187676	506136
1082	187815	505869
1083	187946	505582
1084	188059	505248
1085	188201	504989
1086	188450	505020
1087	188586	504745
1088	188728	504489
1089	188871	504233
1090	189008	503965
1091	189135	503667
1092	189285	503433
1093	189499	503368
1094	189849	503664
1095	190328	504299
1096	190919	505230
1097	191378	505810
1098	191834	506379
1099	192370	507157
